"file","path","md5"
"sample_flow_check.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/sample_flow_check.csv","ef99a99100b56d0900af3f981991649c"
"descriptives.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/descriptives.csv","95278248435904fe7eac5bc5531b4630"
"reliability_summary.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/reliability_summary.csv","4f3f02662249f0ce11bf88d41c2c372e"
"correlations_long.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/correlations_long.csv","e27c628663ad73581fd728638b74222c"
"regression_coefficients.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/regression_coefficients.csv","b42b74da94682350fc84478ad9493154"
"regression_model_fit.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/regression_model_fit.csv","15e4a5f8b641c16520d37509dda1c06b"
"mediation_effects.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/mediation_effects.csv","f08110ae6e9c79de9351eec5623d18ee"
"rq_hypothesis_summary.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/rq_hypothesis_summary.csv","de6df278696266fc5bc73dfb0c461b2f"
"regression_diagnostics_casewise.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/regression_diagnostics_casewise.csv","f1f43b4d0d367a222db8e69f456d0e39"
"regression_vif.csv","D:/_The_Craft_of_Paper/hands-on-writing-papers/analysis/04_outputs/run_20260819_173902/tables/regression_vif.csv","328d5b742e161f68c5f33108f949fc51"
